"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","SP5"
"67","GTLM","Ryan Briscoe","1","1:35.745","1:35.745","Green","Pit","0.000","0.000","0.000","0.000","0.000","0.000","0.000","850.105","0.866","0.000"
"16","GTD","Corey Lewis","1","1:41.711","1:41.711","Green","Pit","0.000","0.000","0.000","0.000","0.000","0.000","0.000","936.140","0.912","0.000"
"96","GTD","Jens Klingmann","1","2:08.914","2:08.914","Green","Track","28.965","18.194","14.965","16.938","11.222","0.514","24.057","5.432","0.222","159.179"
"9","GTD","Lawson Aschenbach","1","2:11.162","2:11.162","Green","Track","30.314","18.436","14.090","16.544","11.292","0.517","24.624","5.494","0.222","158.256"
"44","GTD","Andy Lally","1","2:16.302","2:16.302","Green","Track","29.880","18.505","14.787","17.615","11.531","0.524","25.706","5.561","0.226","156.142"
"4","GTLM","Oliver Gavin","1","2:18.614","2:18.614","Green","Track","28.681","18.609","14.510","16.886","11.360","0.519","25.235","5.547","0.225","157.646"
"3","GTLM","Jan Magnussen","1","2:23.554","2:23.554","Green","Track","29.332","18.748","14.953","16.841","11.342","0.519","24.832","5.512","0.223","157.646"
"66","GTLM","Dirk Mueller","1","2:24.276","2:24.276","Green","Track","28.927","18.720","15.056","17.509","11.409","0.517","24.167","5.441","0.222","158.256"
"62","GTLM","Toni Vilander","1","2:28.540","2:28.540","Green","Track","29.163","18.866","15.814","16.841","11.385","0.528","25.003","5.518","0.223","154.959"
"25","GTLM","Bill Auberlen","1","2:30.018","2:30.018","Green","Track","29.785","18.803","15.084","17.499","11.185","0.510","25.733","5.449","0.221","160.428"
"100","GTLM","John Edwards","1","2:30.647","2:30.647","Green","Track","28.550","21.115","14.169","16.292","11.125","0.512","25.082","5.401","0.220","159.801"
"911","GTLM","Nick Tandy","1","2:31.636","2:31.636","Green","Track","29.690","19.532","14.355","16.289","11.199","0.509","25.412","5.458","0.222","160.743"
"6","GTD","Robin Liddell","1","2:32.701","2:32.701","Green","Track","29.411","18.865","15.009","17.519","11.288","0.512","27.950","5.498","0.223","159.801"
"33","GTD","Ben Keating","1","2:35.683","2:35.683","Green","Track","31.188","22.432","16.167","17.706","11.218","0.545","26.363","5.459","0.223","150.125"
"23","GTD","Mario Farnbacher","1","2:42.085","2:42.085","Green","Track","30.359","20.771","17.306","18.945","11.876","0.538","25.838","5.548","0.228","152.078"
"912","GTLM","Frederic Makowiecki","1","2:42.347","2:42.347","Green","Track","32.899","20.755","17.200","18.613","11.396","0.531","27.233","5.813","0.238","154.083"
"97","GTD","Michael Marsal","1","2:45.318","2:45.318","Green","Track","29.330","19.354","16.347","17.912","11.188","0.522","25.924","5.520","0.224","156.740"
"27","GTD","Cedric Sbirrazzuoli","1","2:49.363","2:49.363","Green","Track","29.760","19.695","16.226","18.023","13.098","0.671","28.077","5.596","0.224","121.935"
"48","GTD","Bryan Sellers","1","2:58.057","2:58.057","Green","Track","28.847","19.125","14.947","17.512","11.289","0.526","27.402","5.472","0.222","155.548"
"63","GTD","Alessandro Balzan","1","3:19.144","3:19.144","Green","Pit","30.699","19.805","15.592","18.911","11.795","0.526","29.127","60.575","0.942","155.548"
"80","GTD","Dan Knox","1","3:23.842","3:23.842","Green","Track","33.865","20.085","17.050","18.289","11.385","0.521","27.317","5.656","0.229","157.041"
"67","GTLM","Ryan Briscoe","2","2:02.302","3:38.047","Green","Track","28.970","18.731","15.019","17.066","11.350","0.519","24.886","5.535","0.226","157.646"
"16","GTD","Spencer Pumpelly","2","2:00.299","3:42.010","Green","Track","28.984","18.246","14.334","16.537","11.232","0.508","24.815","5.423","0.220","161.059"
"96","GTD","Jens Klingmann","2","1:47.030","3:55.944","Green","Track","22.269","16.303","12.929","15.525","11.126","0.511","22.784","5.364","0.219","160.114"
"9","GTD","Lawson Aschenbach","2","1:49.764","4:00.926","Green","Track","22.860","16.801","13.175","15.782","11.218","0.514","23.747","5.447","0.220","159.179"
"4","GTLM","Oliver Gavin","2","1:49.926","4:08.540","Green","Track","23.197","16.828","13.148","15.866","11.200","0.513","23.552","5.401","0.221","159.490"
"44","GTD","Andy Lally","2","1:53.919","4:10.221","Green","Track","23.350","17.385","13.532","16.318","12.351","0.586","24.747","5.429","0.221","139.621"
"3","GTLM","Jan Magnussen","2","1:49.591","4:13.145","Green","Track","23.107","16.798","13.287","15.843","11.158","0.510","23.290","5.377","0.221","160.428"
"66","GTLM","Dirk Mueller","2","1:51.919","4:16.195","Green","Track","23.288","16.687","13.047","15.853","11.316","0.687","25.426","5.396","0.219","119.095"
"62","GTLM","Toni Vilander","2","1:49.421","4:17.961","Green","Track","22.629","16.628","13.608","15.725","11.273","0.517","23.415","5.407","0.219","158.256"
"100","GTLM","John Edwards","2","1:47.399","4:18.046","Green","Track","22.712","16.546","12.711","15.538","11.041","0.509","22.779","5.340","0.223","160.743"
"911","GTLM","Nick Tandy","2","1:49.887","4:21.523","Green","Track","22.035","17.871","13.194","15.609","11.169","0.509","23.937","5.344","0.219","160.743"
"25","GTLM","Bill Auberlen","2","1:52.271","4:22.289","Green","Track","23.220","18.013","13.230","16.349","11.049","0.504","24.369","5.319","0.218","162.338"
"6","GTD","Robin Liddell","2","1:51.443","4:24.144","Green","Track","22.280","16.673","13.748","15.889","11.171","0.508","25.496","5.457","0.221","161.059"
"33","GTD","Ben Keating","2","1:49.913","4:25.596","Green","Track","22.957","17.002","13.167","16.175","11.083","0.508","23.459","5.343","0.219","161.059"
"23","GTD","Mario Farnbacher","2","1:49.142","4:31.227","Green","Track","22.536","16.581","13.218","15.974","11.388","0.523","23.197","5.500","0.225","156.440"
"97","GTD","Michael Marsal","2","1:53.123","4:38.441","Green","Track","23.888","17.207","13.811","16.728","11.157","0.511","24.110","5.487","0.224","160.114"
"48","GTD","Bryan Sellers","2","1:48.737","4:46.794","Green","Track","22.391","16.450","13.635","15.886","11.119","0.506","23.105","5.424","0.221","161.696"
"27","GTD","Cedric Sbirrazzuoli","2","2:00.040","4:49.403","Green","Track","23.979","17.980","14.964","18.313","14.158","0.579","24.426","5.421","0.220","141.309"
"63","GTD","Alessandro Balzan","2","2:01.144","5:20.288","Green","Track","28.717","18.163","14.749","17.217","11.442","0.523","24.608","5.499","0.226","156.440"
"80","GTD","Dan Knox","2","1:57.923","5:21.765","Green","Track","25.177","17.829","15.048","17.356","11.269","0.515","25.025","5.481","0.223","158.870"
"912","GTLM","Frederic Makowiecki","2","2:43.782","5:26.129","Green","Pit","24.915","17.963","14.592","16.318","11.174","0.512","28.770","48.618","0.920","159.801"
"67","GTLM","Ryan Briscoe","3","1:49.339","5:27.386","Green","Track","22.592","16.721","13.449","15.931","11.207","0.512","23.296","5.410","0.221","159.801"
"16","GTD","Spencer Pumpelly","3","1:48.847","5:30.857","Green","Track","22.497","16.554","13.356","15.884","11.094","0.503","23.357","5.384","0.218","162.660"
"96","GTD","Jens Klingmann","3","1:46.257","5:42.201","Green","Track","21.701","16.023","12.646","15.353","11.092","0.522","23.329","5.371","0.220","156.740"
"9","GTD","Lawson Aschenbach","3","1:47.851","5:48.777","Green","Track","22.663","16.406","12.914","15.626","11.227","0.515","22.872","5.409","0.219","158.870"
"4","GTLM","Oliver Gavin","3","1:45.470","5:54.010","Green","Track","22.049","15.837","12.532","15.327","11.098","0.509","22.570","5.330","0.218","160.743"
"3","GTLM","Jan Magnussen","3","1:45.179","5:58.324","Green","Track","21.909","15.836","12.606","15.400","11.028","0.504","22.343","5.336","0.217","162.338"
"44","GTD","Andy Lally","3","1:49.175","5:59.396","Green","Track","22.215","16.379","12.849","15.831","11.361","0.536","24.379","5.404","0.221","152.646"
"66","GTLM","Dirk Mueller","3","1:45.272","6:01.467","Green","Track","21.820","15.750","12.629","15.467","11.189","0.513","22.339","5.347","0.218","159.490"
"100","GTLM","John Edwards","3","1:45.975","6:04.021","Green","Track","21.694","15.772","12.715","16.353","11.091","0.511","22.320","5.301","0.218","160.114"
"911","GTLM","Nick Tandy","3","1:43.747","6:05.270","Green","Track","21.358","15.604","12.372","15.102","11.027","0.505","22.242","5.319","0.218","162.016"
"25","GTLM","Bill Auberlen","3","1:44.150","6:06.439","Green","Track","21.700","15.600","12.397","15.337","10.944","0.504","22.192","5.260","0.216","162.338"
"62","GTLM","Toni Vilander","3","1:50.347","6:08.308","Green","Track","22.535","16.228","13.017","15.546","12.771","0.664","23.964","5.402","0.220","123.220"
"6","GTD","Robin Liddell","3","1:47.460","6:11.604","Green","Track","21.870","16.240","13.233","15.552","11.218","0.513","23.160","5.453","0.221","159.490"
"33","GTD","Ben Keating","3","1:47.751","6:13.347","Green","Track","22.248","16.554","12.849","15.844","11.022","0.504","23.176","5.336","0.218","162.338"
"23","GTD","Mario Farnbacher","3","1:47.087","6:18.314","Green","Track","22.034","16.034","12.791","15.672","11.359","0.522","22.955","5.495","0.225","156.740"
"97","GTD","Michael Marsal","3","1:48.911","6:27.352","Green","Track","22.396","16.674","13.154","16.022","11.219","0.515","23.281","5.428","0.222","158.870"
"48","GTD","Bryan Sellers","3","1:46.527","6:33.321","Green","Track","21.742","16.160","13.057","15.637","11.088","0.505","22.728","5.390","0.220","162.016"
"27","GTD","Cedric Sbirrazzuoli","3","1:49.210","6:38.613","Green","Track","22.445","16.510","13.734","15.860","11.098","0.505","23.418","5.421","0.219","162.016"
"63","GTD","Alessandro Balzan","3","1:49.594","7:09.882","Green","Track","22.877","16.698","13.224","15.996","11.254","0.518","23.332","5.471","0.224","157.950"
"80","GTD","Dan Knox","3","1:52.527","7:14.292","Green","Track","23.635","17.124","13.991","16.220","11.140","0.512","24.259","5.425","0.221","159.801"
"67","GTLM","Ryan Briscoe","4","1:47.159","7:14.545","Green","Track","21.997","16.060","12.802","15.848","11.101","0.509","23.227","5.394","0.221","160.743"
"16","GTD","Spencer Pumpelly","4","1:47.123","7:17.980","Green","Track","22.075","16.506","13.197","15.534","11.034","0.501","22.671","5.386","0.219","163.310"
"912","GTLM","Frederic Makowiecki","3","1:53.771","7:19.900","Green","Track","26.290","16.946","14.456","15.880","11.133","0.511","22.976","5.360","0.219","160.114"
"96","GTD","Jens Klingmann","4","1:46.310","7:28.511","Green","Track","21.452","15.737","12.545","15.203","11.089","0.509","24.041","5.511","0.223","160.743"
"9","GTD","Lawson Aschenbach","4","1:46.204","7:34.981","Green","Track","21.951","16.052","12.644","15.441","11.191","0.512","22.781","5.414","0.218","159.801"
"4","GTLM","Oliver Gavin","4","1:43.889","7:37.899","Green","Track","21.346","15.802","12.358","15.076","11.054","0.506","22.206","5.322","0.219","161.696"
"3","GTLM","Jan Magnussen","4","1:43.051","7:41.375","Green","Track","21.231","15.492","12.327","14.938","11.010","0.505","22.014","5.316","0.218","162.016"
"44","GTD","Andy Lally","4","1:46.081","7:45.477","Green","Track","21.625","16.173","12.648","15.654","11.202","0.512","22.637","5.411","0.219","159.801"
"66","GTLM","Dirk Mueller","4","1:44.138","7:45.605","Green","Track","21.548","15.523","12.475","15.159","11.077","0.506","22.289","5.344","0.217","161.696"
"100","GTLM","John Edwards","4","1:43.330","7:47.351","Green","Track","21.333","15.543","12.429","14.913","11.023","0.508","22.015","5.347","0.219","161.059"
"911","GTLM","Nick Tandy","4","1:43.317","7:48.587","Green","Track","21.146","15.515","12.311","15.128","11.000","0.503","22.191","5.306","0.217","162.660"
"25","GTLM","Bill Auberlen","4","1:42.845","7:49.284","Green","Track","21.286","15.304","12.253","15.179","10.912","0.503","21.933","5.259","0.216","162.660"
"62","GTLM","Toni Vilander","4","1:46.306","7:54.614","Green","Track","21.809","15.864","12.721","15.423","11.191","0.512","23.150","5.415","0.221","159.801"
"6","GTD","Robin Liddell","4","1:47.188","7:58.792","Green","Track","21.773","16.268","13.210","15.510","11.254","0.515","22.997","5.440","0.221","158.870"
"33","GTD","Ben Keating","4","1:47.145","8:00.492","Green","Track","22.084","16.326","12.703","15.800","11.013","0.505","23.167","5.329","0.218","162.016"
"23","GTD","Mario Farnbacher","4","1:46.964","8:05.278","Green","Track","21.819","15.922","12.712","15.514","11.314","0.534","23.433","5.491","0.225","153.218"
"97","GTD","Michael Marsal","4","1:48.279","8:15.631","Green","Track","22.375","16.478","13.046","15.870","11.183","0.513","23.160","5.432","0.222","159.490"
"48","GTD","Bryan Sellers","4","1:45.163","8:18.484","Green","Track","21.509","15.801","12.856","15.407","11.073","0.505","22.421","5.372","0.219","162.016"
"27","GTD","Cedric Sbirrazzuoli","4","1:47.726","8:26.339","Green","Track","21.922","16.259","13.481","15.841","11.138","0.506","22.954","5.406","0.219","161.696"
"63","GTD","Alessandro Balzan","4","1:46.675","8:56.557","Green","Track","21.982","16.164","12.871","15.509","11.220","0.516","22.742","5.447","0.224","158.562"
"67","GTLM","Ryan Briscoe","5","1:44.665","8:59.210","Green","Track","21.849","15.648","12.496","15.412","11.127","0.508","22.080","5.327","0.218","161.059"
"16","GTD","Spencer Pumpelly","5","1:46.818","9:04.798","Green","Track","21.708","15.843","13.686","15.772","11.040","0.502","22.699","5.352","0.216","162.984"
"912","GTLM","Frederic Makowiecki","4","1:45.043","9:04.943","Green","Track","21.444","15.667","12.978","15.465","11.010","0.504","22.457","5.302","0.216","162.338"
"80","GTD","Dan Knox","4","1:53.809","9:08.101","Green","Track","23.486","17.421","14.469","17.120","11.124","0.510","24.042","5.417","0.220","160.428"
"96","GTD","Jens Klingmann","5","1:45.759","9:14.270","Green","Track","21.347","15.724","12.515","15.139","11.053","0.507","23.793","5.460","0.221","161.377"
