"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SPI"
"38","PC","James French","1","50.389","1:48.737","Green","Pit","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"38","PC","James French","1","3:28.415","4:26.763","Green","Track","35.759","35.752","27.454","8.382","6.675","6.884","13.795","7.615","6.525","5.481","0.499","3.205","163.964"
"5","P","Christian Fittipaldi","1","2:05.688","4:38.519","Green","Track","15.031","30.215","25.787","7.886","6.405","6.190","12.791","7.128","5.969","4.957","0.451","2.878","181.415"
"90","P","Marc Goossens","1","2:23.658","4:51.521","Green","Track","30.250","32.091","25.315","8.148","6.891","6.261","12.648","7.211","6.246","5.167","0.464","2.966","176.332"
"100","GTLM","Luhr/J.Edwards/Wittmer/Rahal ","1","5:27.854","5:50.753","Green","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"52","PC","Tom Kimber-Smith","1","5:43.900","6:05.001","Green","Pit","31.106","34.148","26.712","8.572","6.946","7.199","13.681","7.676","6.611","12.824","0.000","0.000","0.000"
"38","PC","James French","2","2:06.187","6:32.950","Green","Track","14.419","28.698","24.908","8.076","6.468","7.190","13.477","7.450","6.425","5.417","0.493","3.166","165.960"
"5","P","Christian Fittipaldi","2","1:57.260","6:35.779","Green","Track","13.355","27.568","23.637","7.549","5.963","5.861","12.151","7.019","5.942","4.911","0.448","2.856","182.630"
"22","GTD","D.MacNeil/C.MacNeil/L.Keen/ vanGisbergen/Jeannette","1","5:50.140","7:19.437","Green","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"26","PC","?? Driver 3 ??","2","3:52.693","7:33.355","Green","Pit","456.906","35.630","27.306","8.571","6.478","6.330","13.680","8.088","7.198","11.350","0.000","0.000","0.000"
"52","PC","Tom Kimber-Smith","2","2:21.924","8:26.925","Green","Track","31.170","30.301","24.049","7.988","6.425","6.761","12.351","7.223","6.396","5.576","0.499","3.185","163.964"
"23","GTD","Ian James","1","2:40.967","8:34.069","Green","Track","20.513","36.053","28.196","9.851","8.243","11.753","13.984","8.324","7.493","9.634","1.303","5.620","62.792"
"38","PC","James French","3","2:01.973","8:34.923","Green","Track","13.150","27.734","24.321","8.052","6.430","6.738","12.607","7.217","6.484","5.545","0.499","3.196","163.964"
"100","GTLM","Luhr/J.Edwards/Wittmer/Rahal ","2","2:47.987","8:38.740","Green","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"02","P","Scott Dixon","1","8:22.079","9:20.081","Green","Pit","30.696","36.389","26.964","8.101","6.345","7.090","14.035","7.342","6.218","10.857","0.000","0.000","0.000"
"26","PC","?? Driver 3 ??","3","2:00.554","9:33.909","Green","Pit","456.906","35.630","27.306","8.571","6.478","6.330","13.680","8.088","7.198","11.350","0.000","0.000","0.000"
"52","PC","Tom Kimber-Smith","3","1:57.885","10:24.810","Green","Track","13.117","27.007","22.761","7.859","6.392","6.468","11.845","7.160","6.324","5.355","0.486","3.111","168.350"
"38","PC","James French","4","2:13.889","10:48.812","Green","Pit","12.739","26.746","22.893","7.934","6.403","6.308","12.002","7.192","6.408","10.930","0.000","0.000","0.000"
"01","P","Alex Wurz","1","9:47.051","10:51.406","Green","Pit","31.166","38.424","29.047","8.567","6.947","6.646","13.248","7.329","6.442","10.570","0.000","0.000","0.000"
"31","P","Eric Curran","1","2:44.314","11:02.157","Green","Track","34.159","39.191","28.105","9.587","7.510","8.042","13.404","7.879","6.961","5.684","0.506","3.286","161.696"
"100","GTLM","Luhr/J.Edwards/Wittmer/Rahal ","3","2:28.919","11:07.659","Green","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"23","GTD","Ian James","2","2:45.033","11:19.102","Green","Track","19.754","33.791","28.319","9.923","9.246","14.436","15.455","8.495","7.238","7.681","0.945","9.750","86.580"
"26","PC","?? Driver 3 ??","4","1:56.201","11:30.110","Green","Pit","275.369","37.814","25.482","8.136","6.379","6.640","13.040","0.000","0.000","0.000","0.000","0.000","0.000"
"02","P","Scott Dixon","2","2:21.212","11:41.293","Green","Track","31.353","32.995","23.093","7.673","6.211","6.389","11.836","6.942","6.099","5.159","0.469","2.993","174.452"
"8","PC","Renger van der Zande","1","2:20.902","11:52.600","Green","Pit","13.651","29.033","23.330","7.865","6.380","6.381","12.680","7.356","6.778","13.204","0.000","0.000","0.000"
"20","PC","Johnny Mowlem","1","6:51.765","12:02.122","Green","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"52","PC","Tom Kimber-Smith","4","1:55.931","12:20.741","Green","Track","12.699","26.106","22.717","7.834","6.380","6.316","11.572","7.058","6.301","5.350","0.486","3.112","168.350"
"31","P","Eric Curran","2","1:59.847","13:02.004","Green","Track","14.180","28.305","24.002","7.645","6.096","6.335","12.107","6.904","5.959","4.978","0.453","2.883","180.614"
"90","P","Marc Goossens","2","8:11.812","13:03.333","Green","Pit","13.558","28.339","23.668","7.792","6.110","6.284","11.863","6.915","6.030","9.753","0.000","0.000","0.000"
"007","GTD","Kevin Buckler","1","2:39.331","13:12.552","Green","Track","34.235","36.585","26.975","8.814","7.040","7.682","13.587","8.053","6.862","5.638","0.513","3.347","159.490"
"01","P","Alex Wurz","2","2:23.747","13:15.153","Green","Track","33.451","32.538","24.009","7.827","6.194","6.261","11.949","6.946","6.070","5.095","0.463","2.944","176.713"
"5","P","Christian Fittipaldi","3","6:39.988","13:15.767","Green","Pit","12.644","27.300","23.373","7.483","6.072","6.016","11.664","6.869","5.887","9.340","0.000","0.000","0.000"
"26","PC","?? Driver 3 ??","5","1:55.159","13:25.269","Green","Pit","275.369","37.814","25.482","8.136","6.379","6.640","13.040","7.230","6.481","10.550","0.000","0.000","0.000"
"100","GTLM","Luhr/J.Edwards/Wittmer/Rahal ","4","2:17.599","13:25.258","Green","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"02","P","Scott Dixon","3","1:53.277","13:34.570","Green","Track","12.674","26.230","22.497","7.571","6.138","5.885","11.004","6.818","6.004","5.057","0.460","2.939","177.866"
"38","PC","James French","5","2:48.929","13:37.741","Green","Pit","42.551","29.088","23.531","7.931","6.433","6.249","11.731","7.130","6.355","10.148","0.000","0.000","0.000"
"50","P","Jim Pace","1","10:15.255","13:49.689","Green","Track","483.936","39.114","29.497","9.529","7.059","7.751","15.054","7.912","6.389","5.179","0.478","3.357","171.168"
"22","GTD","D.MacNeil/C.MacNeil/L.Keen/ vanGisbergen/Jeannette","2","6:30.347","13:49.784","Green","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"23","GTD","Ian James","3","2:34.318","13:53.420","Green","Track","21.466","33.727","27.350","8.608","7.140","14.338","15.105","8.830","7.405","5.967","0.543","3.839","150.678"
"37","P","Nicolas Minassian","1","2:52.934","14:09.230","Green","Pit","33.102","37.413","26.100","8.502","7.409","7.187","12.849","7.517","7.413","10.797","0.000","0.000","0.000"
"45","GTD","Christopher Haase","1","9:37.725","14:21.270","Green","Pit","439.798","33.662","25.063","8.405","7.301","7.386","13.734","7.689","7.297","13.577","0.000","0.000","0.000"
"4","GTLM","Gavin/Milner/Fassler ","1","8:16.205","14:29.332","Green","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
